Intermodal,St. Paul at Plankinton Eastbound,Historic Third Ward Eastbound,Wisconsin Avenue Northbound,City Hall Northbound,Cathedral Square Eastbound,Jackson at Juneau Northbound,Ogden/Jackson Eastbound,Ogden at Astor Eastbound,Burns Commons
18:15:00,18:17:00,18:19:00,18:21:00,18:23:00,18:24:00,18:26:00,18:28:00,18:30:00,18:32:00
18:30:00,18:32:00,18:34:00,18:36:00,18:38:00,18:39:00,18:41:00,18:43:00,18:45:00,18:47:00
18:45:00,18:47:00,18:49:00,18:51:00,18:53:00,18:54:00,18:56:00,18:58:00,19:00:00,19:02:00
19:00:00,19:02:00,19:04:00,19:06:00,19:08:00,19:09:00,19:11:00,19:13:00,19:15:00,19:17:00
19:15:00,19:17:00,19:19:00,19:21:00,19:23:00,19:24:00,19:26:00,19:28:00,19:30:00,19:32:00
19:30:00,19:32:00,19:34:00,19:36:00,19:38:00,19:39:00,19:41:00,19:43:00,19:45:00,19:47:00
19:45:00,19:47:00,19:49:00,19:51:00,19:53:00,19:54:00,19:56:00,19:58:00,20:00:00,20:02:00
20:00:00,20:02:00,20:04:00,20:06:00,20:08:00,20:09:00,20:11:00,20:13:00,20:15:00,20:17:00
20:15:00,20:17:00,20:19:00,20:21:00,20:23:00,20:24:00,20:26:00,20:28:00,20:30:00,20:32:00
20:30:00,20:32:00,20:34:00,20:36:00,20:38:00,20:39:00,20:41:00,20:43:00,20:45:00,20:47:00
20:45:00,20:47:00,20:49:00,20:51:00,20:53:00,20:54:00,20:56:00,20:58:00,21:00:00,21:02:00
21:00:00,21:02:00,21:04:00,21:06:00,21:08:00,21:09:00,21:11:00,21:13:00,21:15:00,21:17:00
21:15:00,21:17:00,21:19:00,21:21:00,21:23:00,21:24:00,21:26:00,21:28:00,21:30:00,21:32:00
21:30:00,21:32:00,21:34:00,21:36:00,21:38:00,21:39:00,21:41:00,21:43:00,21:45:00,21:47:00
21:45:00,21:47:00,21:49:00,21:51:00,21:53:00,21:54:00,21:56:00,21:58:00,22:00:00,22:02:00
22:00:00,22:02:00,22:04:00,22:06:00,22:08:00,22:09:00,22:11:00,22:13:00,22:15:00,22:17:00
22:20:00,22:22:00,22:24:00,22:26:00,22:28:00,22:29:00,22:31:00,22:33:00,22:35:00,22:37:00
22:40:00,22:42:00,22:44:00,22:46:00,22:48:00,22:49:00,22:51:00,22:53:00,22:55:00,22:57:00
23:00:00,23:02:00,23:04:00,23:06:00,23:08:00,23:09:00,23:11:00,23:13:00,23:15:00,23:17:00
23:20:00,23:22:00,23:24:00,23:26:00,23:28:00,23:29:00,23:31:00,23:33:00,23:35:00,23:37:00
23:40:00,23:42:00,23:44:00,23:46:00,23:48:00,23:49:00,23:51:00,23:53:00,23:55:00,23:57:00
