Intermodal,St. Paul at Plankinton Eastbound,Historic Third Ward Eastbound,Wisconsin Avenue Northbound,City Hall Northbound,Cathedral Square Eastbound,Jackson at Juneau Northbound,Ogden/Jackson Eastbound,Ogden at Astor Eastbound,Burns Commons
22:00:00,22:02:00,22:04:00,22:06:00,22:08:00,22:09:00,22:11:00,22:12:00,22:14:00,22:16:00
22:20:00,22:22:00,22:24:00,22:26:00,22:28:00,22:29:00,22:31:00,22:32:00,22:34:00,22:36:00
22:40:00,22:42:00,22:44:00,22:46:00,22:48:00,22:49:00,22:51:00,22:52:00,22:54:00,22:56:00
23:00:00,23:02:00,23:04:00,23:06:00,23:08:00,23:09:00,23:11:00,23:12:00,23:14:00,23:16:00
23:20:00,23:22:00,23:24:00,23:26:00,23:28:00,23:29:00,23:31:00,23:32:00,23:34:00,23:36:00
23:40:00,23:42:00,23:44:00,23:46:00,23:48:00,23:49:00,23:51:00,23:52:00,23:54:00,23:56:00
